10:14:05                        Запускается сервис Монитора Установки...
10:14:05                        Версия сервиса: 0x105
10:14:05                        Запускаем 'uTorrentPro_v3.6.0.47116.exe'...
10:14:05                        Монитор установки запущен
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libidummy_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-TP59F.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\liblibbluray_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-DS1K1.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\librtp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-R0841.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libscreen_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-K5CS9.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libsdp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-O01UP.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libstream_filter_rar_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-3R5PI.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libvcd_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-7656N.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libzip_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\is-7T7CN.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\libaccess_output_dummy_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\is-8TK01.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\libaccess_output_file_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\is-BU3AR.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\libaccess_output_http_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\is-FB9K7.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\libaccess_output_livehttp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\is-6UH3A.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\libaccess_output_shout_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\is-9T6G0.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access_output\libaccess_output_udp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-UO9LM.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\liba52tofloat32_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-7MQHA.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\liba52tospdif_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-C9RNP.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libaudiobargraph_a_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-7HA5D.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libaudio_format_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-EL4BO.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libchorus_flanger_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-5B9MO.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libcompressor_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-NSO5T.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libconverter_fixed_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-A1BB1.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libdtstofloat32_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-7S92S.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libdtstospdif_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-CSRH8.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libequalizer_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-U0KDE.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libheadphone_channel_mixer_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-0K7VJ.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libkaraoke_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-V75KN.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libmono_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-9SD1J.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libmpgatofixed32_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-22PI3.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libnormvol_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-585LS.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libparam_eq_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-QNDV4.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libsamplerate_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-87PSG.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libscaletempo_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-S59RK.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libsimple_channel_mixer_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-M77KK.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libspatializer_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-7UA3O.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libspeex_resampler_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-HF2AN.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libtrivial_channel_mixer_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\is-GOULQ.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_filter\libugly_resampler_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_mixer\is-B94MH.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_mixer\libfixed32_mixer_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_mixer\is-R548D.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_mixer\libfloat32_mixer_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\is-MUH91.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\libadummy_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\is-AG6GD.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\libamem_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\is-JHTAE.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\libaout_directx_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\is-R6MMR.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\libaout_file_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\is-QU286.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\audio_output\libwaveout_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-CR2V4.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\liba52_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-HTHJ1.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libaes3_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-59PSP.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libaraw_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-HL7CT.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libavcodec_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-VS6PN.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libddummy_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-L8N72.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libdmo_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-SCIC0.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libedummy_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-S4FFV.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libfaad_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-S6JRV.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libflac_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-I6FHA.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libkate_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-VGUQ7.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\liblibass_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-63BU3.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\liblibmpeg2_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-6KP5K.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libmpeg_audio_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-BITGG.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libpng_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-AQ617.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libquicktime_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-OJMO1.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\librawvideo_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-J8GQD.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libschroedinger_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-VIRND.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libspeex_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-EB4UN.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libtheora_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-QPOII.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libvorbis_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\is-F3U22.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\codec\libx264_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\is-MGICO.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\libdummy_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\is-ELSKG.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\libgestures_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\is-29EME.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\libglobalhotkeys_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\is-OBB8C.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\libhotkeys_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\is-P5DBA.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\libnetsync_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\is-AC089.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\libntservice_plugin.dll
10:16:19    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\is-SOH0C.tmp
10:16:19    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\control\liboldrc_plugin.dll
